2020-02-23 20:19:48.049540	------------------------------
2020-02-23 20:19:48.049540	首个交易日：	2016-02-02
2020-02-23 20:19:48.049540	最后交易日：	2019-12-31
2020-02-23 20:19:48.049540	总交易日：	954
2020-02-23 20:19:48.049540	盈利交易日：	169
2020-02-23 20:19:48.049540	亏损交易日：	184
2020-02-23 20:19:48.049540	起始资金：	1,000,000.00
2020-02-23 20:19:48.049540	结束资金：	1,635,844.93
2020-02-23 20:19:48.049540	总收益率：	63.58%
2020-02-23 20:19:48.049540	年化收益：	16.00%
2020-02-23 20:19:48.049540	最大回撤: 	-137,793.45
2020-02-23 20:19:48.049540	百分比最大回撤: -9.72%
2020-02-23 20:19:48.049540	最长回撤天数: 	164
2020-02-23 20:19:48.049540	总盈亏：	635,844.93
2020-02-23 20:19:48.049540	总手续费：	7,155.07
2020-02-23 20:19:48.049540	总滑点：	27,000.00
2020-02-23 20:19:48.049540	总成交金额：	238,502,500.00
2020-02-23 20:19:48.049540	总成交笔数：	108
2020-02-23 20:19:48.049540	日均盈亏：	666.50
2020-02-23 20:19:48.049540	日均手续费：	7.50
2020-02-23 20:19:48.049540	日均滑点：	28.30
2020-02-23 20:19:48.049540	日均成交金额：	250,002.62
2020-02-23 20:19:48.049540	日均成交笔数：	0.11320754716981132
2020-02-23 20:19:48.049540	日均收益率：	0.05%
2020-02-23 20:19:48.049540	收益标准差：	0.78%
2020-02-23 20:19:48.049540	Sharpe Ratio：	1.02
2020-02-23 20:19:48.049540	收益回撤比：	6.54
2020-02-23 20:19:51.821079	优化参数组合数:225
2020-02-23 20:20:44.607499	参数：{'boll_window': 5, 'boll_dev': 1.1, 'atr_window': 38, 'rsi_f_window': 10, 'rsi_l_window': 10, 'grow_window': 8, 'reduce_window': 10, 'sl_multiplier': 7.5, 'fixed_size': 5}, 目标：0
2020-02-23 20:20:44.607499	参数：{'boll_window': 5, 'boll_dev': 1.1, 'atr_window': 38, 'rsi_f_window': 10, 'rsi_l_window': 10, 'grow_window': 10, 'reduce_window': 11, 'sl_multiplier': 7.5, 'fixed_size': 5}, 目标：0
2020-02-23 20:20:44.607499	参数：{'boll_window': 5, 'boll_dev': 1.1, 'atr_window': 39, 'rsi_f_window': 10, 'rsi_l_window': 10, 'grow_window': 8, 'reduce_window': 9, 'sl_multiplier': 7.5, 'fixed_size': 5}, 目标：0
2020-02-23 20:20:44.607499	参数：{'boll_window': 5, 'boll_dev': 1.1, 'atr_window': 39, 'rsi_f_window': 10, 'rsi_l_window': 10, 'grow_window': 8, 'reduce_window': 10, 'sl_multiplier': 7.5, 'fixed_size': 5}, 目标：0
2020-02-23 20:20:44.607499	参数：{'boll_window': 5, 'boll_dev': 1.1, 'atr_window': 39, 'rsi_f_window': 10, 'rsi_l_window': 10, 'grow_window': 8, 'reduce_window': 11, 'sl_multiplier': 7.5, 'fixed_size': 5}, 目标：0
2020-02-23 20:20:44.607499	参数：{'boll_window': 5, 'boll_dev': 1.1, 'atr_window': 39, 'rsi_f_window': 10, 'rsi_l_window': 10, 'grow_window': 9, 'reduce_window': 9, 'sl_multiplier': 7.5, 'fixed_size': 5}, 目标：0
2020-02-23 20:20:44.607499	参数：{'boll_window': 5, 'boll_dev': 1.1, 'atr_window': 39, 'rsi_f_window': 10, 'rsi_l_window': 10, 'grow_window': 9, 'reduce_window': 10, 'sl_multiplier': 7.5, 'fixed_size': 5}, 目标：0
2020-02-23 20:20:44.607499	参数：{'boll_window': 5, 'boll_dev': 1.1, 'atr_window': 39, 'rsi_f_window': 10, 'rsi_l_window': 10, 'grow_window': 9, 'reduce_window': 11, 'sl_multiplier': 7.5, 'fixed_size': 5}, 目标：0
2020-02-23 20:20:44.607499	参数：{'boll_window': 5, 'boll_dev': 1.1, 'atr_window': 39, 'rsi_f_window': 10, 'rsi_l_window': 10, 'grow_window': 10, 'reduce_window': 9, 'sl_multiplier': 7.5, 'fixed_size': 5}, 目标：0
2020-02-23 20:20:44.607499	参数：{'boll_window': 5, 'boll_dev': 1.1, 'atr_window': 39, 'rsi_f_window': 10, 'rsi_l_window': 10, 'grow_window': 10, 'reduce_window': 11, 'sl_multiplier': 7.5, 'fixed_size': 5}, 目标：0
2020-02-23 20:20:44.607499	参数：{'boll_window': 5, 'boll_dev': 1.1, 'atr_window': 39, 'rsi_f_window': 10, 'rsi_l_window': 10, 'grow_window': 10, 'reduce_window': 10, 'sl_multiplier': 7.5, 'fixed_size': 5}, 目标：0
2020-02-23 20:20:44.607499	参数：{'boll_window': 5, 'boll_dev': 1.1, 'atr_window': 40, 'rsi_f_window': 10, 'rsi_l_window': 10, 'grow_window': 8, 'reduce_window': 9, 'sl_multiplier': 7.5, 'fixed_size': 5}, 目标：0
2020-02-23 20:20:44.607499	参数：{'boll_window': 5, 'boll_dev': 1.1, 'atr_window': 40, 'rsi_f_window': 10, 'rsi_l_window': 10, 'grow_window': 8, 'reduce_window': 10, 'sl_multiplier': 7.5, 'fixed_size': 5}, 目标：0
2020-02-23 20:20:44.607499	参数：{'boll_window': 5, 'boll_dev': 1.1, 'atr_window': 40, 'rsi_f_window': 10, 'rsi_l_window': 10, 'grow_window': 9, 'reduce_window': 9, 'sl_multiplier': 7.5, 'fixed_size': 5}, 目标：0
2020-02-23 20:20:44.607499	参数：{'boll_window': 5, 'boll_dev': 1.1, 'atr_window': 40, 'rsi_f_window': 10, 'rsi_l_window': 10, 'grow_window': 8, 'reduce_window': 11, 'sl_multiplier': 7.5, 'fixed_size': 5}, 目标：0
2020-02-23 20:20:44.607499	参数：{'boll_window': 5, 'boll_dev': 1.1, 'atr_window': 40, 'rsi_f_window': 10, 'rsi_l_window': 10, 'grow_window': 9, 'reduce_window': 10, 'sl_multiplier': 7.5, 'fixed_size': 5}, 目标：0
2020-02-23 20:20:44.607499	参数：{'boll_window': 5, 'boll_dev': 1.1, 'atr_window': 40, 'rsi_f_window': 10, 'rsi_l_window': 10, 'grow_window': 10, 'reduce_window': 9, 'sl_multiplier': 7.5, 'fixed_size': 5}, 目标：0
2020-02-23 20:20:44.607499	参数：{'boll_window': 5, 'boll_dev': 1.1, 'atr_window': 40, 'rsi_f_window': 10, 'rsi_l_window': 10, 'grow_window': 9, 'reduce_window': 11, 'sl_multiplier': 7.5, 'fixed_size': 5}, 目标：0
2020-02-23 20:20:44.607499	参数：{'boll_window': 5, 'boll_dev': 1.1, 'atr_window': 40, 'rsi_f_window': 10, 'rsi_l_window': 10, 'grow_window': 10, 'reduce_window': 10, 'sl_multiplier': 7.5, 'fixed_size': 5}, 目标：0
2020-02-23 20:20:44.607499	参数：{'boll_window': 5, 'boll_dev': 1.1, 'atr_window': 40, 'rsi_f_window': 10, 'rsi_l_window': 10, 'grow_window': 10, 'reduce_window': 11, 'sl_multiplier': 7.5, 'fixed_size': 5}, 目标：0
2020-02-23 20:20:44.607499	参数：{'boll_window': 5, 'boll_dev': 1.1, 'atr_window': 41, 'rsi_f_window': 10, 'rsi_l_window': 10, 'grow_window': 8, 'reduce_window': 9, 'sl_multiplier': 7.5, 'fixed_size': 5}, 目标：0
2020-02-23 20:20:44.607499	参数：{'boll_window': 5, 'boll_dev': 1.1, 'atr_window': 41, 'rsi_f_window': 10, 'rsi_l_window': 10, 'grow_window': 8, 'reduce_window': 10, 'sl_multiplier': 7.5, 'fixed_size': 5}, 目标：0
2020-02-23 20:20:44.607499	参数：{'boll_window': 5, 'boll_dev': 1.1, 'atr_window': 41, 'rsi_f_window': 10, 'rsi_l_window': 10, 'grow_window': 8, 'reduce_window': 11, 'sl_multiplier': 7.5, 'fixed_size': 5}, 目标：0
2020-02-23 20:20:44.607499	参数：{'boll_window': 5, 'boll_dev': 1.1, 'atr_window': 41, 'rsi_f_window': 10, 'rsi_l_window': 10, 'grow_window': 9, 'reduce_window': 10, 'sl_multiplier': 7.5, 'fixed_size': 5}, 目标：0
2020-02-23 20:20:44.607499	参数：{'boll_window': 5, 'boll_dev': 1.1, 'atr_window': 41, 'rsi_f_window': 10, 'rsi_l_window': 10, 'grow_window': 9, 'reduce_window': 9, 'sl_multiplier': 7.5, 'fixed_size': 5}, 目标：0
2020-02-23 20:20:44.607499	参数：{'boll_window': 5, 'boll_dev': 1.1, 'atr_window': 41, 'rsi_f_window': 10, 'rsi_l_window': 10, 'grow_window': 10, 'reduce_window': 9, 'sl_multiplier': 7.5, 'fixed_size': 5}, 目标：0
2020-02-23 20:20:44.607499	参数：{'boll_window': 5, 'boll_dev': 1.1, 'atr_window': 41, 'rsi_f_window': 10, 'rsi_l_window': 10, 'grow_window': 9, 'reduce_window': 11, 'sl_multiplier': 7.5, 'fixed_size': 5}, 目标：0
2020-02-23 20:20:44.607499	参数：{'boll_window': 5, 'boll_dev': 1.1, 'atr_window': 41, 'rsi_f_window': 10, 'rsi_l_window': 10, 'grow_window': 10, 'reduce_window': 10, 'sl_multiplier': 7.5, 'fixed_size': 5}, 目标：0
2020-02-23 20:20:44.607499	参数：{'boll_window': 5, 'boll_dev': 1.1, 'atr_window': 41, 'rsi_f_window': 10, 'rsi_l_window': 10, 'grow_window': 10, 'reduce_window': 11, 'sl_multiplier': 7.5, 'fixed_size': 5}, 目标：0
2020-02-23 20:20:44.607499	参数：{'boll_window': 5, 'boll_dev': 1.1, 'atr_window': 42, 'rsi_f_window': 10, 'rsi_l_window': 10, 'grow_window': 8, 'reduce_window': 9, 'sl_multiplier': 7.5, 'fixed_size': 5}, 目标：0
2020-02-23 20:20:44.607499	参数：{'boll_window': 5, 'boll_dev': 1.1, 'atr_window': 42, 'rsi_f_window': 10, 'rsi_l_window': 10, 'grow_window': 8, 'reduce_window': 11, 'sl_multiplier': 7.5, 'fixed_size': 5}, 目标：0
2020-02-23 20:20:44.607499	参数：{'boll_window': 5, 'boll_dev': 1.1, 'atr_window': 42, 'rsi_f_window': 10, 'rsi_l_window': 10, 'grow_window': 8, 'reduce_window': 10, 'sl_multiplier': 7.5, 'fixed_size': 5}, 目标：0
2020-02-23 20:20:44.607499	参数：{'boll_window': 5, 'boll_dev': 1.1, 'atr_window': 42, 'rsi_f_window': 10, 'rsi_l_window': 10, 'grow_window': 9, 'reduce_window': 9, 'sl_multiplier': 7.5, 'fixed_size': 5}, 目标：0
2020-02-23 20:20:44.607499	参数：{'boll_window': 5, 'boll_dev': 1.1, 'atr_window': 42, 'rsi_f_window': 10, 'rsi_l_window': 10, 'grow_window': 9, 'reduce_window': 10, 'sl_multiplier': 7.5, 'fixed_size': 5}, 目标：0
2020-02-23 20:20:44.607499	参数：{'boll_window': 5, 'boll_dev': 1.1, 'atr_window': 42, 'rsi_f_window': 10, 'rsi_l_window': 10, 'grow_window': 9, 'reduce_window': 11, 'sl_multiplier': 7.5, 'fixed_size': 5}, 目标：0
2020-02-23 20:20:44.607499	参数：{'boll_window': 5, 'boll_dev': 1.1, 'atr_window': 42, 'rsi_f_window': 10, 'rsi_l_window': 10, 'grow_window': 10, 'reduce_window': 9, 'sl_multiplier': 7.5, 'fixed_size': 5}, 目标：0
2020-02-23 20:20:44.607499	参数：{'boll_window': 5, 'boll_dev': 1.1, 'atr_window': 42, 'rsi_f_window': 10, 'rsi_l_window': 10, 'grow_window': 10, 'reduce_window': 10, 'sl_multiplier': 7.5, 'fixed_size': 5}, 目标：0
2020-02-23 20:20:44.607499	参数：{'boll_window': 5, 'boll_dev': 1.1, 'atr_window': 42, 'rsi_f_window': 10, 'rsi_l_window': 10, 'grow_window': 10, 'reduce_window': 11, 'sl_multiplier': 7.5, 'fixed_size': 5}, 目标：0
